Koordinatensystem : Lambert konform konisch
Rechtswert        : 3928500 Meter
Hochwert          : 2446500 Meter
Hoehenlage        : 439 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 2031-2060
Datenbasis 1      : Beobachtungsdaten Zeitraum 1995-2012
Datenbasis 2      : Klimasimulationen Zeitraum 1971-2000 (Basis RCP-historical / CORDEX-Europa Laeufe)
Datenbasis 3      : Klimasimulationen Zeitraum 2031-2060 (Basis RCP-4.5 und RCP-8.5 / CORDEX-Europa Laeufe)

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3928500 2446500  1  1  1   6.0  974 227  2.4 8  5.5  90    0    0 324 -321  2
3928500 2446500  1  1  2   5.3  974 229  2.1 8  5.2  90    0    0 325 -321  2
3928500 2446500  1  1  3   4.8  974 230  2.0 8  5.0  90    0    0 326 -322  2
3928500 2446500  1  1  4   4.9  974 223  1.9 7  5.0  90    0    0 326 -325  2
3928500 2446500  1  1  5   5.0  974 220  2.1 7  5.0  89    0    0 315 -327  2
3928500 2446500  1  1  6   5.0  974 191  1.8 7  5.0  88    0    0 310 -327  2
3928500 2446500  1  1  7   5.1  974 219  3.1 7  5.0  89    0    0 316 -328  2
3928500 2446500  1  1  8   4.7  974 216  2.9 8  5.1  91    0    0 321 -328  2
3928500 2446500  1  1  9   4.6  974 204  2.4 8  5.0  92    0    7 326 -329  2
3928500 2446500  1  1 10   5.1  974 206  2.2 5  5.0  90   30   57 308 -330  2
3928500 2446500  1  1 11   5.5  975 203  2.5 1  5.0  87  129   85 268 -332  2
3928500 2446500  1  1 12   7.3  976 220  2.4 2  5.0  81  181  103 253 -333  2
3928500 2446500  1  1 13   8.4  975 216  2.8 3  4.9  72  178  116 267 -335  2
3928500 2446500  1  1 14   7.7  974 222  3.1 4  4.7  67   49  121 278 -336  2
3928500 2446500  1  1 15   7.6  974 240  2.9 7  4.5  67    0   58 300 -337  2
3928500 2446500  1  1 16   6.8  973 237  2.1 7  4.6  71    2   40 317 -338  2
3928500 2446500  1  1 17   6.4  973 225  2.1 7  4.8  76    0    6 314 -338  2
3928500 2446500  1  1 18   6.4  973 213  3.0 7  4.8  77    0    0 314 -337  2
3928500 2446500  1  1 19   5.6  972 221  3.0 7  4.8  78    0    0 313 -337  2
3928500 2446500  1  1 20   5.4  972 199  3.1 7  4.8  82    0    0 311 -337  2
3928500 2446500  1  1 21   5.4  972 187  3.5 7  4.8  83    0    0 311 -337  2
3928500 2446500  1  1 22   5.1  971 193  3.1 7  4.8  84    0    0 312 -337  2
3928500 2446500  1  1 23   5.3  970 195  2.7 7  4.9  85    0    0 313 -338  2
